RESULTATS: ./consumer-producer.o
0:11.54,0:13.16,0:11.28,0:12.95,0:11.87,
0:14.55,0:14.97,0:14.78,0:14.63,0:14.96,
0:16.51,0:16.76,0:16.84,0:16.60,0:16.84,
0:17.27,0:17.22,0:17.27,0:17.30,0:16.83,
0:18.20,0:17.79,0:17.65,0:17.55,0:17.35,
0:18.14,0:18.51,0:17.99,0:18.35,0:16.57,
0:18.67,0:18.35,0:18.00,0:18.14,0:18.53,
0:18.40,0:18.81,0:17.76,0:17.76,0:18.36,
0:18.19,0:18.62,0:18.34,0:18.77,0:18.47,
0:18.09,0:18.16,0:18.38,0:18.25,0:18.06,
0:17.91,0:18.32,0:18.95,0:18.42,0:18.28,
0:17.94,0:18.46,0:17.79,0:18.08,
