RESULTATS: ./philosophesTATAS.o
0:00.02,0:00.01,0:00.01,0:00.01,0:00.01,
0:00.02,0:00.02,0:00.02,0:00.02,0:00.02,
0:00.03,0:00.03,0:00.03,0:00.04,0:00.04,
0:00.05,0:00.04,0:00.04,0:00.04,0:00.04,
0:00.06,0:00.06,0:00.06,0:00.05,0:00.06,
0:00.07,0:00.07,0:00.07,0:00.07,0:00.07,
0:00.08,0:00.09,0:00.10,0:00.08,0:00.09,
0:00.11,0:00.09,0:00.10,0:00.09,0:00.09,
0:00.09,0:00.15,0:00.15,0:00.18,0:00.10,
0:00.14,0:00.17,0:00.12,0:00.14,0:00.11,
0:00.27,0:00.18,0:00.15,0:00.17,0:00.15,
0:00.21,0:00.18,0:00.28,0:00.20,0:00.23,
0:00.22,0:00.26,0:00.16,0:00.30,0:00.22,
0:00.20,0:00.32,0:00.17,0:00.24,0:00.22,
0:00.28,0:00.47,0:00.38,0:00.23,0:00.36,
0:00.22,0:00.21,0:00.36,0:00.40,0:00.20,
