RESULTATS: ./p-c.o
0:12.18,0:11.43,0:11.93,0:12.11,0:11.56,
0:03.91,0:04.01,0:04.00,0:03.93,0:03.97,
0:03.93,0:03.81,0:03.95,0:03.90,0:03.89,
0:03.85,0:03.81,0:03.85,0:03.87,0:03.85,
0:03.77,0:03.77,0:03.77,0:03.79,0:03.76,
0:03.69,0:03.77,0:03.84,0:03.80,0:03.43,
0:03.78,0:03.78,0:03.79,0:03.78,0:03.77,
0:03.77,0:03.75,0:03.76,0:03.74,0:03.81,
0:03.70,0:03.84,0:03.68,0:03.76,0:03.79,
0:03.71,0:03.48,0:03.74,0:03.74,0:03.78,
0:03.71,0:03.72,0:03.72,0:03.73,0:03.72,
0:03.70,0:03.73,0:03.70,0:03.73,0:03.69,
0:03.75,0:03.74,0:03.70,0:03.70,0:03.72,
0:03.74,0:03.68,0:03.67,0:03.67,0:03.62,
0:03.72,0:03.69,0:03.62,0:03.65,0:03.67,
0:03.58,0:03.66,0:03.69,0:03.65,0:03.68,
